Code,Description
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds"
1.12,Growing of rice
1.13,"Growing of vegetables and melons, roots and tubers"
1.14,Growing of sugar cane
1.15,Growing of tobacco
1.16,Growing of fibre crops
1.19,Growing of other non-perennial crops
1.21,Growing of grapes
1.22,Growing of tropical and subtropical fruits
1.23,Growing of citrus fruits
1.24,Growing of pome fruits and stone fruits
1.25,Growing of other tree and bush fruits and nuts
1.26,Growing of oleaginous fruits
1.27,Growing of beverage crops
1.28,"Growing of spices, aromatic, drug and pharmaceutical crops"
1.29,Growing of other perennial crops
1.3,Plant propagation
1.41,Raising of dairy cattle
1.42,Raising of other cattle and buffaloes
1.43,Raising of horses and other equines
1.44,Raising of camels and camelids
1.45,Raising of sheep and goats
1.46,Raising of swine/pigs
1.47,Raising of poultry
1.49,Raising of other animals
1.5,Mixed farming
1.61,Support activities for crop production
1.62,Support activities for animal production
1.63,Post-harvest crop activities
1.64,Seed processing for propagation
1.7,"Hunting, trapping and related service activities"
2.1,Silviculture and other forestry activities
2.2,Logging
2.3,Gathering of wild growing non-wood products
2.4,Support services to forestry
3.11,Marine fishing
3.12,Freshwater fishing
3.21,Marine aquaculture
3.22,Freshwater aquaculture
5.1,Mining of hard coal
5.2,Mining of lignite
6.1,Extraction of crude petroleum
6.2,Extraction of natural gas
7.1,Mining of iron ores
7.21,Mining of uranium and thorium ores
7.29,Mining of other non-ferrous metal ores
8.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
8.12,Operation of gravel and sand pits; mining of clays and kaolin
8.91,Mining of chemical and fertiliser minerals
8.92,Extraction of peat
8.93,Extraction of salt
8.99,Other mining and quarrying n.e.c.
9.1,Support activities for petroleum and natural gas extraction
9.9,Support activities for other mining and quarrying
10.11,Processing and preserving of meat
10.12,Processing and preserving of poultry meat
10.13,Production of meat and poultry meat products
10.2,"Processing and preserving of fish, crustaceans and molluscs"
10.31,Processing and preserving of potatoes
10.32,Manufacture of fruit and vegetable juice
10.39,Other processing and preserving of fruit and vegetables
10.41,Manufacture of oils and fats
10.42,Manufacture of margarine and similar edible fats
10.51,Operation of dairies and cheese making
10.52,Manufacture of ice cream
10.61,Manufacture of grain mill products
10.62,Manufacture of starches and starch products
10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes
10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
10.81,Manufacture of sugar
10.82,"Manufacture of cocoa, chocolate and sugar confectionery"
10.83,Processing of tea and coffee
10.84,Manufacture of condiments and seasonings
10.85,Manufacture of prepared meals and dishes
10.86,Manufacture of homogenised food preparations and dietetic food
10.89,Manufacture of other food products n.e.c.
10.91,Manufacture of prepared feeds for farm animals
10.92,Manufacture of prepared pet foods
11.01,"Distilling, rectifying and blending of spirits"
11.02,Manufacture of wine from grape
11.03,Manufacture of cider and other fruit wines
11.04,Manufacture of other non-distilled fermented beverages
11.05,Manufacture of beer
11.06,Manufacture of malt
11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters
12,Manufacture of tobacco products
13.1,Preparation and spinning of textile fibres
13.2,Weaving of textiles
13.3,Finishing of textiles
13.91,Manufacture of knitted and crocheted fabrics
13.92,"Manufacture of made-up textile articles, except apparel"
13.93,Manufacture of carpets and rugs
13.94,"Manufacture of cordage, rope, twine and netting"
13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel"
13.96,Manufacture of other technical and industrial textiles
13.99,Manufacture of other textiles n.e.c.
14.11,Manufacture of leather clothes
14.12,Manufacture of workwear
14.13,Manufacture of other outerwear
14.14,Manufacture of underwear
14.19,Manufacture of other wearing apparel and accessories
14.2,Manufacture of articles of fur
14.31,Manufacture of knitted and crocheted hosiery
14.39,Manufacture of other knitted and crocheted apparel
15.11,Tanning and dressing of leather; dressing and dyeing of fur
15.12,"Manufacture of luggage, handbags and the like, saddlery and harness"
15.2,Manufacture of footwear
16.1,Sawmilling and planing of wood
16.21,Manufacture of veneer sheets and wood-based panels
16.22,Manufacture of assembled parquet floors
16.23,Manufacture of other builders' carpentry and joinery
16.24,Manufacture of wooden containers
16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
17.11,Manufacture of pulp
17.12,Manufacture of paper and paperboard
17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
17.22,Manufacture of household and sanitary goods and of toilet requisites
17.23,Manufacture of paper stationery
17.24,Manufacture of wallpaper
17.29,Manufacture of other articles of paper and paperboard
18.11,Printing of newspapers
18.12,Other printing
18.13,Pre-press and pre-media services
18.14,Binding and related services
18.2,Reproduction of recorded media
19.1,Manufacture of coke oven products
19.2,Manufacture of refined petroleum products
20.11,Manufacture of industrial gases
20.12,Manufacture of dyes and pigments
20.13,Manufacture of other inorganic basic chemicals
20.14,Manufacture of other organic basic chemicals
20.15,Manufacture of fertilisers and nitrogen compounds
20.16,Manufacture of plastics in primary forms
20.17,Manufacture of synthetic rubber in primary forms
20.2,Manufacture of pesticides and other agrochemical products
20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
20.41,"Manufacture of soap and detergents, cleaning and polishing preparations"
20.42,Manufacture of perfumes and toilet preparations
20.51,Manufacture of explosives
20.52,Manufacture of glues
20.53,Manufacture of essential oils
20.59,Manufacture of other chemical products n.e.c.
20.6,Manufacture of man-made fibres
21.1,Manufacture of basic pharmaceutical products
21.2,Manufacture of pharmaceutical preparations
22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
22.19,Manufacture of other rubber products
22.21,"Manufacture of plastic plates, sheets, tubes and profiles"
22.22,Manufacture of plastic packing goods
22.23,Manufacture of buildersâ€™ ware of plastic
22.29,Manufacture of other plastic products
23.11,Manufacture of flat glass
23.12,Shaping and processing of flat glass
23.13,Manufacture of hollow glass
23.14,Manufacture of glass fibres
23.19,"Manufacture and processing of other glass, including technical glassware"
23.2,Manufacture of refractory products
23.31,Manufacture of ceramic tiles and flags
23.32,"Manufacture of bricks, tiles and construction products, in baked clay"
23.41,Manufacture of ceramic household and ornamental articles
23.42,Manufacture of ceramic sanitary fixtures
23.43,Manufacture of ceramic insulators and insulating fittings
23.44,Manufacture of other technical ceramic products
23.49,Manufacture of other ceramic products
23.51,Manufacture of cement
23.52,Manufacture of lime and plaster
23.61,Manufacture of concrete products for construction purposes
23.62,Manufacture of plaster products for construction purposes
23.63,Manufacture of ready-mixed concrete
23.64,Manufacture of mortars
23.65,Manufacture of fibre cement
23.69,"Manufacture of other articles of concrete, plaster and cement"
23.7,"Cutting, shaping and finishing of stone"
23.91,Production of abrasive products
23.99,Manufacture of other non-metallic mineral products n.e.c.
24.1,Manufacture of basic iron and steel and of ferro-alloys 
24.2,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
24.31,Cold drawing of bars
24.32,Cold rolling of narrow strip
24.33,Cold forming or folding
24.34,Cold drawing of wire
24.41,Precious metals production
24.42,Aluminium production
24.43,"Lead, zinc and tin production"
24.44,Copper production
24.45,Other non-ferrous metal production
24.46,Processing of nuclear fuel 
24.51,Casting of iron
24.52,Casting of steel
24.53,Casting of light metals
24.54,Casting of other non-ferrous metals
25.11,Manufacture of metal structures and parts of structures
25.12,Manufacture of doors and windows of metal
25.21,Manufacture of central heating radiators and boilers
25.29,"Manufacture of other tanks, reservoirs and containers of metal"
25.3,"Manufacture of steam generators, except central heating hot water boilers"
25.4,Manufacture of weapons and ammunition
25.5,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
25.61,Treatment and coating of metals
25.62,Machining
25.71,Manufacture of cutlery
25.72,Manufacture of locks and hinges
25.73,Manufacture of tools
25.91,Manufacture of steel drums and similar containers
25.92,Manufacture of light metal packaging 
25.93,"Manufacture of wire products, chain and springs"
25.94,Manufacture of fasteners and screw machine products
25.99,Manufacture of other fabricated metal products n.e.c.
26.11,Manufacture of electronic components
26.12,Manufacture of loaded electronic boards
26.2,Manufacture of computers and peripheral equipment
26.3,Manufacture of communication equipment
26.4,Manufacture of consumer electronics
26.51,"Manufacture of instruments and appliances for measuring, testing and navigation"
26.52,Manufacture of watches and clocks
26.6,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
26.7,Manufacture of optical instruments and photographic equipment
26.8,Manufacture of magnetic and optical media
27.11,"Manufacture of electric motors, generators and transformers"
27.12,Manufacture of electricity distribution and control apparatus
27.2,Manufacture of batteries and accumulators
27.31,Manufacture of fibre optic cables
27.32,Manufacture of other electronic and electric wires and cables
27.33,Manufacture of wiring devices
27.4,Manufacture of electric lighting equipment
27.51,Manufacture of electric domestic appliances
27.52,Manufacture of non-electric domestic appliances
27.9,Manufacture of other electrical equipment
28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
28.12,Manufacture of fluid power equipment
28.13,Manufacture of other pumps and compressors
28.14,Manufacture of other taps and valves
28.15,"Manufacture of bearings, gears, gearing and driving elements"
28.21,"Manufacture of ovens, furnaces and furnace burners"
28.22,Manufacture of lifting and handling equipment
28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment)
28.24,Manufacture of power-driven hand tools
28.25,Manufacture of non-domestic cooling and ventilation equipment
28.29,Manufacture of other general-purpose machinery n.e.c.
28.3,Manufacture of agricultural and forestry machinery
28.41,Manufacture of metal forming machinery
28.49,Manufacture of other machine tools
28.91,Manufacture of machinery for metallurgy
28.92,"Manufacture of machinery for mining, quarrying and construction"
28.93,"Manufacture of machinery for food, beverage and tobacco processing"
28.94,"Manufacture of machinery for textile, apparel and leather production"
28.95,Manufacture of machinery for paper and paperboard production
28.96,Manufacture of plastics and rubber machinery
28.99,Manufacture of other special-purpose machinery n.e.c.
29.1,Manufacture of motor vehicles
29.2,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
29.31,Manufacture of electrical and electronic equipment for motor vehicles
29.32,Manufacture of other parts and accessories for motor vehicles
30.11,Building of ships and floating structures
30.12,Building of pleasure and sporting boats
30.2,Manufacture of railway locomotives and rolling stock
30.3,Manufacture of air and spacecraft and related machinery
30.4,Manufacture of military fighting vehicles
30.91,Manufacture of motorcycles
30.92,Manufacture of bicycles and invalid carriages
30.99,Manufacture of other transport equipment n.e.c.
31.01,Manufacture of office and shop furniture
31.02,Manufacture of kitchen furniture
31.03,Manufacture of mattresses
31.09,Manufacture of other furniture
32.11,Striking of coins
32.12,Manufacture of jewellery and related articles
32.13,Manufacture of imitation jewellery and related articles
32.2,Manufacture of musical instruments
32.3,Manufacture of sports goods
32.4,Manufacture of games and toys
32.5,Manufacture of medical and dental instruments and supplies
32.91,Manufacture of brooms and brushes
32.99,Other manufacturing n.e.c. 
33.11,Repair of fabricated metal products
33.12,Repair of machinery
33.13,Repair of electronic and optical equipment
33.14,Repair of electrical equipment
33.15,Repair and maintenance of ships and boats
33.16,Repair and maintenance of aircraft and spacecraft
33.17,Repair and maintenance of other transport equipment
33.19,Repair of other equipment
33.2,Installation of industrial machinery and equipment
35.11,Production of electricity
35.12,Transmission of electricity
35.13,Distribution of electricity
35.14,Trade of electricity
35.21,Manufacture of gas
35.22,Distribution of gaseous fuels through mains
35.23,Trade of gas through mains
35.3,Steam and air conditioning supply
36,"Water collection, treatment and supply"
37,Sewerage
38.11,Collection of non-hazardous waste
38.12,Collection of hazardous waste
38.21,Treatment and disposal of non-hazardous waste
38.22,Treatment and disposal of hazardous waste
38.31,Dismantling of wrecks
38.32,Recovery of sorted materials
39,Remediation activities and other waste management services
41.1,Development of building projects
41.2,Construction of residential and non-residential buildings
42.11,Construction of roads and motorways
42.12,Construction of railways and underground railways
42.13,Construction of bridges and tunnels
42.21,Construction of utility projects for fluids
42.22,Construction of utility projects for electricity and telecommunications
42.91,Construction of water projects
42.99,Construction of other civil engineering projects n.e.c.
43.11,Demolition
43.12,Site preparation
43.13,Test drilling and boring
43.21,Electrical installation
43.22,"Plumbing, heat and air-conditioning installation"
43.29,Other construction installation
43.31,Plastering
43.32,Joinery installation
43.33,Floor and wall covering
43.34,Painting and glazing
43.39,Other building completion and finishing
43.91,Roofing activities
43.99,Other specialised construction activities n.e.c.
45.11,Sale of cars and light motor vehicles
45.19,Sale of other motor vehicles
45.2,Maintenance and repair of motor vehicles
45.31,Wholesale trade of motor vehicle parts and accessories
45.32,Retail trade of motor vehicle parts and accessories
45.4,"Sale, maintenance and repair of motorcycles and related parts and accessories"
46.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
46.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
46.13,Agents involved in the sale of timber and building materials
46.14,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
46.15,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
46.16,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
46.17,"Agents involved in the sale of food, beverages and tobacco"
46.18,Agents specialised in the sale of other particular products
46.19,Agents involved in the sale of a variety of goods
46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
46.22,Wholesale of flowers and plants
46.23,Wholesale of live animals
46.24,"Wholesale of hides, skins and leather"
46.31,Wholesale of fruit and vegetables
46.32,Wholesale of meat and meat products
46.33,"Wholesale of dairy products, eggs and edible oils and fats"
46.34,Wholesale of beverages
46.35,Wholesale of tobacco products
46.36,Wholesale of sugar and chocolate and sugar confectionery
46.37,"Wholesale of coffee, tea, cocoa and spices"
46.38,"Wholesale of other food, including fish, crustaceans and molluscs"
46.39,"Non-specialised wholesale of food, beverages and tobacco"
46.41,Wholesale of textiles
46.42,Wholesale of clothing and footwear
46.43,Wholesale of electrical household appliances
46.44,Wholesale of china and glassware and cleaning materials
46.45,Wholesale of perfume and cosmetics
46.46,Wholesale of pharmaceutical goods
46.47,"Wholesale of furniture, carpets and lighting equipment"
46.48,Wholesale of watches and jewellery
46.49,Wholesale of other household goods
46.51,"Wholesale of computers, computer peripheral equipment and software"
46.52,Wholesale of electronic and telecommunications equipment and parts
46.61,"Wholesale of agricultural machinery, equipment and supplies"
46.62,Wholesale of machine tools
46.63,"Wholesale of mining, construction and civil engineering machinery"
46.64,Wholesale of machinery for the textile industry and of sewing and knitting machines
46.65,Wholesale of office furniture
46.66,Wholesale of other office machinery and equipment
46.69,Wholesale of other machinery and equipment
46.71,"Wholesale of solid, liquid and gaseous fuels and related products"
46.72,Wholesale of metals and metal ores
46.73,"Wholesale of wood, construction materials and sanitary equipment"
46.74,"Wholesale of hardware, plumbing and heating equipment and supplies"
46.75,Wholesale of chemical products
46.76,Wholesale of other intermediate products
46.77,Wholesale of waste and scrap
46.9,Non-specialised wholesale trade
47.11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
47.19,Other retail sale in non-specialised stores
47.21,Retail sale of fruit and vegetables in specialised stores
47.22,Retail sale of meat and meat products in specialised stores
47.23,"Retail sale of fish, crustaceans and molluscs in specialised stores"
47.24,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
47.25,Retail sale of beverages in specialised stores
47.26,Retail sale of tobacco products in specialised stores
47.29,Other retail sale of food in specialised stores
47.3,Retail sale of automotive fuel in specialised stores
47.41,"Retail sale of computers, peripheral units and software in specialised stores"
47.42,Retail sale of telecommunications equipment in specialised stores
47.43,Retail sale of audio and video equipment in specialised stores
47.51,Retail sale of textiles in specialised stores
47.52,"Retail sale of hardware, paints and glass in specialised stores"
47.53,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
47.54,Retail sale of electrical household appliances in specialised stores
47.59,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
47.61,Retail sale of books in specialised stores
47.62,Retail sale of newspapers and stationery in specialised stores
47.63,Retail sale of music and video recordings in specialised stores
47.64,Retail sale of sporting equipment in specialised stores
47.65,Retail sale of games and toys in specialised stores
47.71,Retail sale of clothing in specialised stores
47.72,Retail sale of footwear and leather goods in specialised stores
47.73,Dispensing chemist in specialised stores
47.74,Retail sale of medical and orthopaedic goods in specialised stores
47.75,Retail sale of cosmetic and toilet articles in specialised stores
47.76,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
47.77,Retail sale of watches and jewellery in specialised stores
47.78,Other retail sale of new goods in specialised stores
47.79,Retail sale of second-hand goods in stores
47.81,"Retail sale via stalls and markets of food, beverages and tobacco products"
47.82,"Retail sale via stalls and markets of textiles, clothing and footwear"
47.89,Retail sale via stalls and markets of other goods
47.91,Retail sale via mail order houses or via Internet
47.99,"Other retail sale not in stores, stalls or markets"
49.1,"Passenger rail transport, interurban"
49.2,Freight rail transport
49.31,Urban and suburban passenger land transport
49.32,Taxi operation
49.39,Other passenger land transport n.e.c.
49.41,Freight transport by road
49.42,Removal services
49.5,Transport via pipeline
50.1,Sea and coastal passenger water transport
50.2,Sea and coastal freight water transport
50.3,Inland passenger water transport
50.4,Inland freight water transport
51.1,Passenger air transport
51.21,Freight air transport
51.22,Space transport
52.1,Warehousing and storage
52.21,Service activities incidental to land transportation
52.22,Service activities incidental to water transportation
52.23,Service activities incidental to air transportation
52.24,Cargo handling
52.29,Other transportation support activities 
53.1,Postal activities under universal service obligation
53.2,Other postal and courier activities
55.1,Hotels and similar accommodation
55.2,Holiday and other short-stay accommodation
55.3,"Camping grounds, recreational vehicle parks and trailer parks"
55.9,Other accommodation
56.1,Restaurants and mobile food service activities
56.21,Event catering activities
56.29,Other food service activities
56.3,Beverage serving activities
58.11,Book publishing
58.12,Publishing of directories and mailing lists
58.13,Publishing of newspapers
58.14,Publishing of journals and periodicals
58.19,Other publishing activities
58.21,Publishing of computer games
58.29,Other software publishing
59.11,"Motion picture, video and television programme production activities"
59.12,"Motion picture, video and television programme post-production activities"
59.13,"Motion picture, video and television programme distribution activities"
59.14,Motion picture projection activities
59.2,Sound recording and music publishing activities
60.1,Radio broadcasting
60.2,Television programming and broadcasting activities
61.1,Wired telecommunications activities
61.2,Wireless telecommunications activities
61.3,Satellite telecommunications activities
61.9,Other telecommunications activities
62.01,Computer programming activities
62.02,Computer consultancy activities
62.03,Computer facilities management activities
62.09,Other information technology and computer service activities
63.11,"Data processing, hosting and related activities"
63.12,Web portals
63.91,News agency activities
63.99,Other information service activities n.e.c.
64.11,Central banking
64.19,Other monetary intermediation
64.2,Activities of holding companies
64.3,"Trusts, funds and similar financial entities"
64.91,Financial leasing
64.92,Other credit granting
64.99,"Other financial service activities, except insurance and pension funding n.e.c."
65.11,Life insurance
65.12,Non-life insurance
65.2,Reinsurance
65.3,Pension funding
66.11,Administration of financial markets
66.12,Security and commodity contracts brokerage
66.19,"Other activities auxiliary to financial services, except insurance and pension funding"
66.21,Risk and damage evaluation
66.22,Activities of insurance agents and brokers
66.29,Other activities auxiliary to insurance and pension funding
66.3,Fund management activities
68.1,Buying and selling of own real estate
68.2,Rental and operating of own or leased real estate
68.31,Real estate agencies
68.32,Management of real estate on a fee or contract basis
69.1,Legal activities
69.2,"Accounting, bookkeeping and auditing activities; tax consultancy"
70.1,Activities of head offices
70.21,Public relations and communication activities
70.22,Business and other management consultancy activities
71.11,Architectural activities 
71.12,Engineering activities and related technical consultancy
71.2,Technical testing and analysis
72.11,Research and experimental development on biotechnology
72.19,Other research and experimental development on natural sciences and engineering
72.2,Research and experimental development on social sciences and humanities
73.11,Advertising agencies
73.12,Media representation
73.2,Market research and public opinion polling
74.1,Specialised design activities
74.2,Photographic activities
74.3,Translation and interpretation activities
74.9,"Other professional, scientific and technical activities n.e.c."
75,Veterinary activities
77.11,Rental and leasing of cars and light motor vehicles
77.12,Rental and leasing of trucks
77.21,Rental and leasing of recreational and sports goods
77.22,Rental of video tapes and disks
77.29,Rental and leasing of other personal and household goods
77.31,Rental and leasing of agricultural machinery and equipment
77.32,Rental and leasing of construction and civil engineering machinery and equipment
77.33,Rental and leasing of office machinery and equipment (including computers)
77.34,Rental and leasing of water transport equipment
77.35,Rental and leasing of air transport equipment
77.39,"Rental and leasing of other machinery, equipment and tangible goods n.e.c."
77.4,"Leasing of intellectual property and similar products, except copyrighted works"
78.1,Activities of employment placement agencies
78.2,Temporary employment agency activities
78.3,Other human resources provision
79.11,Travel agency activities
79.12,Tour operator activities
79.9,Other reservation service and related activities
80.1,Private security activities
80.2,Security systems service activities
80.3,Investigation activities
81.1,Combined facilities support activities
81.21,General cleaning of buildings
81.22,Other building and industrial cleaning activities
81.29,Other cleaning activities
81.3,Landscape service activities
82.11,Combined office administrative service activities
82.19,"Photocopying, document preparation and other specialised office support activities"
82.2,Activities of call centres
82.3,Organisation of conventions and trade shows
82.91,Activities of collection agencies and credit bureaus
82.92,Packaging activities
82.99,Other business support service activities n.e.c.
84.11,General public administration activities
84.12,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
84.13,Regulation of and contribution to more efficient operation of businesses
84.21,Foreign affairs
84.22,Defence activities
84.23,Justice and judicial activities
84.24,Public order and safety activities
84.25,Fire service activities
84.3,Compulsory social security activities
85.1,Pre-primary education 
85.2,Primary education 
85.31,General secondary education 
85.32,Technical and vocational secondary education 
85.41,Post-secondary non-tertiary education
85.42,Tertiary education
85.51,Sports and recreation education
85.52,Cultural education
85.53,Driving school activities
85.59,Other education n.e.c.
85.6,Educational support activities
86.1,Hospital activities
86.21,General medical practice activities
86.22,Specialist medical practice activities
86.23,Dental practice activities
86.9,Other human health activities
87.1,Residential nursing care activities
87.2,"Residential care activities for mental retardation, mental health and substance abuse"
87.3,Residential care activities for the elderly and disabled
87.9,Other residential care activities
88.1,Social work activities without accommodation for the elderly and disabled
88.91,Child day-care activities
88.99,Other social work activities without accommodation n.e.c.
90.01,Performing arts
90.02,Support activities to performing arts
90.03,Artistic creation
90.04,Operation of arts facilities
91.01,Library and archives activities
91.02,Museums activities
91.03,Operation of historical sites and buildings and similar visitor attractions
91.04,Botanical and zoological gardens and nature reserves activities
92,Gambling and betting activities
93.11,Operation of sports facilities
93.12,Activities of sports clubs
93.13,Fitness facilities
93.19,Other sports activities
93.21,Activities of amusement parks and theme parks
93.29,Other amusement and recreation activities
94.11,Activities of business and employers membership organisations
94.12,Activities of professional membership organisations
94.2,Activities of trade unions
94.91,Activities of religious organisations
94.92,Activities of political organisations
94.99,Activities of other membership organisations n.e.c.
95.11,Repair of computers and peripheral equipment
95.12,Repair of communication equipment
95.21,Repair of consumer electronics
95.22,Repair of household appliances and home and garden equipment
95.23,Repair of footwear and leather goods
95.24,Repair of furniture and home furnishings
95.25,"Repair of watches, clocks and jewellery"
95.29,Repair of other personal and household goods
96.01,Washing and (dry-)cleaning of textile and fur products
96.02,Hairdressing and other beauty treatment
96.03,Funeral and related activities
96.04,Physical well-being activities
96.09,Other personal service activities n.e.c.
97,Activities of households as employers of domestic personnel
98.1,Undifferentiated goods-producing activities of private households for own use
98.2,Undifferentiated service-producing activities of private households for own use
99,Activities of extraterritorial organisations and bodies